# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 20 19843
  10 123.827 974.8 319.219
  11 136.861 994.81 324.826
  12 149.896 1014.41 320.033
  13 162.93 958.51 314.203
  14 175.964 1014.36 311.56
  15 188.999 986.04 307.884
  16 202.033 983.15 306.161
  17 215.068 1019.78 303.581
  18 228.102 948.94 296.523
  19 241.136 1014.96 285.497
  20 254.171 1019.44 283.224
410000 20 19843.000000000004
  1 6.5172 977.09 276.008
  2 19.5516 1014.24 286.12
  3 32.586 958.5 285.191
  4 45.6204 1014.32 295.017
  5 58.6548 965.1 298.763
  6 71.6892 1004.87 302.061
  7 84.7236 1016.72 310.629
  8 97.758 947.53 310.943
  9 110.792 1018.31 313.704
  10 123.827 977.01 318.417
  11 136.861 992.35 326.003
  12 149.896 1014.49 322.311
  13 162.93 958.58 309.395
  14 175.964 1014.29 311.91
  15 188.999 986.06 307.92
  16 202.033 983 303.594
  17 215.068 1019.62 300.883
  18 228.102 948.86 297.21
  19 241.136 1015.2 288.457
  20 254.171 1016.86 281.919
420000 20 19842.999999999996
  1 6.5172 975.68 274.473
  2 19.5516 1014.58 281.32
  3 32.586 958.26 284.912
  4 45.6204 1014.18 294.031
  5 58.6548 964.68 297.617
  6 71.6892 1005.15 306.462
  7 84.7236 1016.9 307.605
  8 97.758 947.47 316.607
  9 110.792 1018.36 322.247
  10 123.827 973.63 327.769
  11 136.861 995.76 335.47
  12 149.896 1014.56 322.626
  13 162.93 958.44 313.21
  14 175.964 1014.35 307.029
  15 188.999 986.95 304.047
  16 202.033 982.22 299.664
  17 215.068 1019.61 295.403
  18 228.102 949.01 293.459
  19 241.136 1014.94 289.254
  20 254.171 1018.27 282.706
430000 20 19843
  1 6.5172 974.6 269.945
  2 19.5516 1014.38 278.444
  3 32.586 958.55 289.447
  4 45.6204 1014.13 293.019
  5 58.6548 965.84 296.605
  6 71.6892 1004.07 307.952
  7 84.7236 1016.69 312.725
