# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 20 19843.000000000004
  14 175.964 1014.68 309.612
  15 188.999 970.66 305.663
  16 202.033 999.04 301.504
  17 215.068 1018.09 297.168
  18 228.102 948.98 289.287
  19 241.136 1015.51 288.75
  20 254.171 1002.13 281.969
190000 20 19843
  1 6.5172 992.17 277.654
  2 19.5516 1015.27 280.268
  3 32.586 957.37 285.042
  4 45.6204 1014.85 291.903
  5 58.6548 972.62 293.658
  6 71.6892 995.71 296.401
  7 84.7236 1018.92 304.419
  8 97.758 948.04 306.098
  9 110.792 1016.66 319.559
  10 123.827 986.41 329.026
  11 136.861 983.44 330.261
  12 149.896 1014.92 320.278
  13 162.93 957.57 314.506
  14 175.964 1014.54 306.546
  15 188.999 971.04 300.033
  16 202.033 998.67 294.891
  17 215.068 1018.05 294.752
  18 228.102 949.1 292.807
  19 241.136 1015.37 288.43
  20 254.171 1002.28 286.167
200000 20 19843
  1 6.5172 993.79 273.724
  2 19.5516 1015.23 281.336
  3 32.586 957.64 284.627
  4 45.6204 1014.68 294.868
  5 58.6548 972.99 295.538
  6 71.6892 995.44 298.519
  7 84.7236 1018.84 302.837
  8 97.758 948.05 312.257
  9 110.792 1016.71 317.397
  10 123.827 987.59 321.374
  11 136.861 982.16 329.906
  12 149.896 1014.79 322.337
  13 162.93 957.65 313.039
  14 175.964 1014.56 306.782
  15 188.999 969.56 303.483
  16 202.033 1000.16 296.74
  17 215.068 1018.04 293.302
  18 228.102 948.97 294.452
  19 241.136 1015.63 290.171
  20 254.171 1000.52 283.435
210000 20 19843
  1 6.5172 989.24 273.288
  2 19.5516 1015.2 283.972
  3 32.586 957.57 285.97
  4 45.6204 1014.65 291.061
  5 58.6548 971.74 294.619
  6 71.6892 996.63 300.067
  7 84.7236 1018.78 305.388
  8 97.758 948.05 303.997
  9 110.792 1016.81 313.221
  10 123.827 986.88 321.363
  11 136.861 982.92 330.268
  12 149.896 1014.98 321.534
  13 162.93 957.32 314.143
  14 175.964 1014.71 309.215
  15 188.999 969.33 300.306
  16 202.033 1000.37 295.857
  17 215.068 1018.07 295.442
  18 228.102 949.02 295.251
  19 241.136 1015.69 292.037
  20 254.171 1005.04 288.044
220000 20 19843.000000000004
  1 6.5172 993.31 275.862
  2 19.5516 1015.27 282.098
  3 32.586 957.35 283.71
  4 45.6204 1015.1 293.674
  5 58.6548 972.82 300.155
  6 71.6892 995.29 300.461
  7 84.7236 1018.59 302.641
  8 97.758 948.37 311.923
  9 110.792 1016.73 315.333
  10 123.827 989.63 317.198
  11 136.861 980.16 328.73
  12 149.896 1014.96 318.564
  13 162.93 957.54 311.91
  14 175.964 1014.52 304.539
  15 188.999 969.81 305.214
  16 202.033 999.87 298.192
  17 215.068 1018.08 293.354
  18 228.102 948.9 291.816
  19 241.136 1015.73 291.743
  20 254.171 1000.97 286.545
230000 20 19843.000000000004
  1 6.5172 994.14 272.458
  2 19.5516 1015.18 278.356
  3 32.586 957.33 283.399
  4 45.6204 1015.36 294.307
  5 58.6548 973.51 300.008
  6 71.6892 994.46 300.147
  7 84.7236 1018.81 307.098
  8 97.758 948.21 311.088
  9 110.792 1016.57 311.627
  10 123.827 989.99 314.11
  11 136.861 979.85 326.76
  12 149.896 1014.92 322.212
  13 162.93 957.66 314.302
  14 175.964 1014.44 312.163
  15 188.999 968.95 307.969
  16 202.033 1000.7 298.558
  17 215.068 1018.09 293.843
  18 228.102 948.86 290.868
  19 241.136 1015.79 289.495
  20 254.171 1000.18 282.176
240000 20 19842.999999999996
  1 6.5172 991.37 271.386
  2 19.5516 1015.17 280.61
  3 32.586 957.34 282.833
  4 45.6204 1015.3 290.31
  5 58.6548 973.94 293.058
  6 71.6892 994.07 298.727
  7 84.7236 1018.82 302.796
  8 97.758 948.08 308.863
  9 110.792 1016.72 314.841
  10 123.827 988.86 320.351
  11 136.861 980.94 328.526
  12 149.896 1014.99 322.163
  13 162.93 957.66 316.606
  14 175.964 1014.38 314.29
  15 188.999 967.91 306.576
  16 202.033 1001.8 302.03
  17 215.068 1017.87 297.413
  18 228.102 948.8 294.604
  19 241.136 1016.12 288.057
  20 254.171 1002.86 280.902
250000 20 19842.999999999996
  1 6.5172 991.89 274.78
  2 19.5516 1015.36 278.391
  3 32.586 957.25 287.586
  4 45.6204 1015.25 291.57
  5 58.6548 976.1 295.422
  6 71.6892 991.87 302.662
  7 84.7236 1018.75 301.945
  8 97.758 948.24 304.743
  9 110.792 1016.65 312.864
  10 123.827 989.39 319.833
  11 136.861 980.39 330.035
  12 149.896 1014.97 326.621
  13 162.93 957.74 313.999
  14 175.964 1014.32 308.563
  15 188.999 967.11 306.9
  16 202.033 1002.5 301.651
  17 215.068 1018.04 298.908
  18 228.102 948.64 292.781
  19 241.136 1016.03 283.142
  20 254.171 1002.51 280.61
260000 20 19843
  1 6.5172 991.81 271.833
  2 19.5516 1015.15 279.265
  3 32.586 957.43 284.659
  4 45.6204 1015.2 292.173
  5 58.6548 974.11 294.518
  6 71.6892 993.89 296.196
  7 84.7236 1018.57 300.623
  8 97.758 948.35 308.631
  9 110.792 1016.75 318.928
  10 123.827 988.73 324.627
  11 136.861 981.01 332.673
  12 149.896 1015.03 323.032
  13 162.93 957.62 318.263
  14 175.964 1014.39 311.95
  15 188.999 969.09 303.838
  16 202.033 1000.62 301.059
  17 215.068 1017.93 298.384
  18 228.102 948.7 291.496
  19 241.136 1016.07 285.057
  20 254.171 1002.55 280.822
270000 20 19843.000000000004
  1 6.5172 992.7 271.706
  2 19.5516 1015.38 278.881
  3 32.586 957.15 286.059
  4 45.6204 1015.36 290.044
  5 58.6548 975.31 295.395
  6 71.6892 992.74 298.902
  7 84.7236 1018.95 305.284
  8 97.758 948.01 312.039
  9 110.792 1016.6 317.358
  10 123.827 989.82 323.046
  11 136.861 979.95 328.718
  12 149.896 1014.96 323.752
  13 162.93 957.57 320.504
  14 175.964 1014.5 309.749
  15 188.999 966.96 301.864
  16 202.033 1002.72 296.023
  17 215.068 1018.05 297.485
  18 228.102 948.72 290.98
  19 241.136 1015.9 287.766
  20 254.171 1001.65 283.96
280000 20 19843.000000000004
  1 6.5172 993.66 273.324
  2 19.5516 1015.47 282.59
  3 32.586 957.26 286.461
  4 45.6204 1015.19 288.765
  5 58.6548 976.38 294.452
  6 71.6892 991.6 303.157
  7 84.7236 1018.78 306.227
  8 97.758 948.19 309.076
  9 110.792 1016.78 315.42
  10 123.827 988.59 323.037
  11 136.861 981.09 333.021
  12 149.896 1014.87 321.719
  13 162.93 957.57 314.419
  14 175.964 1014.58 308.514
  15 188.999 967.94 302.631
  16 202.033 1001.79 299.138
  17 215.068 1017.9 295.614
  18 228.102 948.73 289.899
  19 241.136 1015.9 286.677
  20 254.171 1000.73 284.777
290000 20 19842.999999999996
  1 6.5172 994.05 274.966
  2 19.5516 1015.34 282.638
  3 32.586 957.49 290.033
  4 45.6204 1014.97 295.8
  5 58.6548 976.03 301.12
  6 71.6892 992.12 302.362
  7 84.7236 1018.89 302.111
  8 97.758 948.03 306.74
  9 110.792 1016.61 314.44
  10 123.827 989.02 319.407
  11 136.861 980.76 324.097
  12 149.896 1014.9 319.937
  13 162.93 957.6 315.983
  14 175.964 1014.53 314.102
  15 188.999 968.2 308.896
  16 202.033 1001.47 295.725
  17 215.068 1018.03 298.957
  18 228.102 948.67 292.396
  19 241.136 1015.94 283.527
  20 254.171 1000.35 280.951
300000 20 19843.000000000004
  1 6.5172 991.91 276.201
  2 19.5516 1015.47 285.212
  3 32.586 957.39 291.653
  4 45.6204 1015.13 295.149
  5 58.6548 976.84 295.359
  6 71.6892 991.14 300.364
  7 84.7236 1018.89 304.868
  8 97.758 948.07 306.945
  9 110.792 1016.66 315.173
  10 123.827 988.45 319.611
  11 136.861 981.29 327.701
  12 149.896 1014.83 319.504
  13 162.93 957.44 314.306
  14 175.964 1014.77 308.167
  15 188.999 966.76 308.237
  16 202.033 1002.93 299.818
  17 215.068 1017.98 296.194
  18 228.102 948.64 291.888
  19 241.136 1015.99 284.779
  20 254.171 1002.42 279.13
310000 20 19843
  1 6.5172 991.38 275.449
  2 19.5516 1015.34 281.057
  3 32.586 957.59 287.22
  4 45.6204 1014.87 293.672
  5 58.6548 976.02 300.178
  6 71.6892 992.14 298.763
  7 84.7236 1018.7 303.555
  8 97.758 948.1 306.268
  9 110.792 1016.74 314.853
  10 123.827 988.64 322.901
  11 136.861 981.13 328.108
  12 149.896 1014.84 319.925
  13 162.93 957.6 309.097
  14 175.964 1014.61 307.931
  15 188.999 967.52 304.707
  16 202.033 1002.07 299.496
  17 215.068 1017.94 297.95
  18 228.102 948.71 294.247
  19 241.136 1016.09 290.076
  20 254.171 1002.97 282.514
320000 20 19842.999999999996
  1 6.5172 990.49 272.613
  2 19.5516 1015.56 278.167
  3 32.586 957.46 285.237
  4 45.6204 1014.98 294.009
  5 58.6548 978.76 297.387
  6 71.6892 989.2 301.939
  7 84.7236 1018.9 306.334
  8 97.758 947.99 313.636
  9 110.792 1016.75 315.104
  10 123.827 988.15 316.471
  11 136.861 981.57 329.191
  12 149.896 1014.84 318.855
  13 162.93 957.27 313.727
  14 175.964 1014.91 309.568
  15 188.999 965.26 304.216
  16 202.033 1004.31 299.349
  17 215.068 1017.97 297.389
  18 228.102 948.6 297.882
  19 241.136 1016.26 289.465
  20 254.171 1003.77 284.003
330000 20 19843
  1 6.5172 990.56 270.922
  2 19.5516 1015.48 281.06
  3 32.586 957.41 286.576
  4 45.6204 1015.04 294.508
  5 58.6548 977.14 295.925
  6 71.6892 990.88 301.446
  7 84.7236 1018.87 304.262
  8 97.758 948.14 314.471
  9 110.792 1016.49 315.277
  10 123.827 986.69 317.639
  11 136.861 983.15 326.789
  12 149.896 1014.85 320.126
  13 162.93 957.58 316.236
  14 175.964 1014.59 312.111
  15 188.999 966.23 305.068
  16 202.033 1003.36 299.297
  17 215.068 1018.1 295.096
  18 228.102 948.48 294.636
  19 241.136 1016.2 287.312
  20 254.171 1003.76 282.004
340000 20 19843.000000000004
  1 6.5172 991.68 272.786
  2 19.5516 1015.3 283.266
  3 32.586 957.53 288.873
  4 45.6204 1015.11 293.309
  5 58.6548 978.83 296.188
  6 71.6892 989.19 299.043
  7 84.7236 1018.95 304.35
  8 97.758 947.98 307.714
  9 110.792 1016.59 314.341
